Epoch,Train Loss,Train Accuracy,Validation Accuracy
1,758.7114308476448,53.32982671459045,70.52016364699007
2,555.5629069209099,64.273399374653,75.16072472238457
3,463.2131732106209,69.35507436953917,79.3687901811806
4,421.7744528055191,71.74541947926711,83.13267095265927
5,395.0233536362648,73.61561614213494,83.33138515488018
6,372.495442032814,74.77280032728441,84.68731735827002
7,353.50314968824387,75.97381724671985,86.79135008766804
8,332.99291959404945,77.31217673358464,85.50555230859146
9,315.71993735432625,78.53072674673446,88.03039158386908
10,304.3014157116413,79.29341632331025,88.97720631209819
11,295.57415747642517,80.24896993074428,89.70192869666862
12,288.82888785004616,80.53534379474591,90.01753360607832
13,277.148785173893,81.32141082960756,92.1332554061952
14,272.0163994729519,81.79480435989598,91.291642314436
15,260.60644552111626,82.5896379416148,92.18001168907072
16,257.10770881175995,83.04842056047457,91.8760958503799
17,244.90422736108303,83.55688027819176,92.95149035651666
18,241.73609599471092,84.00105198562287,92.83459964932788
19,236.44539295136929,84.53873352619736,94.14377556984219
20,231.58776865899563,84.71406446334122,93.68790181180596
21,227.78197586536407,84.98874959819993,93.40736411455289
22,223.53682935237885,85.25466818620146,95.33606078316774
23,221.73867094516754,85.71637298734696,94.37755698421975
